Input State,Input Size,SelectionSort,InsertionSort,BinaryInsertionSort,BubbleSort,ShakerSort,ShellSort,HeapSort,MergeSort,QuickSort,CountingSort,RadixSort,FlashSort
Sorted,1000,1629,303,2105,1236,1156,150,104,1142,88,38,107,135
Sorted,3000,10815,3316,3586,11165,12023,487,355,2124,253,150,434,125
Sorted,10000,111110,33164,32470,201197,151090,1701,1342,6815,1012,296,1364,486
Sorted,30000,1013541,228867,239210,1910596,1223718,6558,4144,12387,2501,751,3274,1365
Sorted,100000,7220951,2395985,2365604,20273024,13786657,21749,18339,62201,10674,2487,15365,4266
Reversed,1000,672,4,47,457,2,32,82,305,10,31,77,30
Reversed,3000,5722,14,167,6389,5,153,330,816,37,53,407,77
Reversed,10000,88921,31,370,52169,10,442,1132,3503,102,166,931,261
Reversed,30000,707038,90,1213,429057,30,1982,4310,17910,301,387,3401,730
Reversed,100000,7478002,324,4601,5773945,92,7340,15266,41941,1933,1225,18052,2385
Random,1000,1310,429,444,1190,1041,33,75,287,14,180,70,29
Random,3000,8110,10609,7029,9453,10925,119,301,1513,32,58,285,94
Random,10000,128093,50992,49852,117928,109326,698,1033,4433,151,182,1400,312
Random,30000,953786,465651,595740,1051980,1051514,2615,4014,9260,520,368,4933,683
Random,100000,8714815,4820535,4800750,10991229,10919662,5756,16364,54272,1404,1223,11158,2977
NearlySorted,1000,1498,17,54,804,21,67,99,645,13,229,71,29
NearlySorted,3000,6613,29,110,5422,68,256,328,1531,46,50,296,93
NearlySorted,10000,74518,67,385,51190,131,766,1116,2787,103,190,924,303
NearlySorted,30000,822960,240,1266,498607,506,2023,4378,8519,465,340,5130,704
NearlySorted,100000,7892596,753,4617,6168184,804,6964,14730,38083,1899,1622,12221,2373
